feature,f_score,p_value,selected
cp,64.54261957876355,9.531841833961116e-14,True
exang,58.4712536420741,9.818746970470749e-13,True
thalach,53.24884642800989,7.665956475492532e-12,True
oldpeak,42.88748252115976,5.226460775367592e-10,True
slope,32.71315712252689,4.066390350866995e-08,True
thal,27.030785204646204,5.125685920727332e-07,True
ca,23.759541666508817,2.288839089923774e-06,True
sex,10.550068873339484,0.0013725823455654357,True
age,9.470497455173259,0.002395003572569216,True
trestbps,4.819968589515919,0.0293368532556726,True
restecg,3.0964977393287563,0.08006184429351013,False
chol,2.696414620128417,0.10221961218544812,False
fbs,0.09784181113559415,0.754776346339666,False
