feature,f_score,p_value,selected
cp,64.54261957876355,9.531841833961165e-14,True
exang,58.4712536420741,9.818746970470917e-13,True
thalach,53.24884642800989,7.66595647549242e-12,True
oldpeak,42.88748252115976,5.226460775367564e-10,True
slope,32.71315712252689,4.066390350866959e-08,True
thal,27.030785204646204,5.125685920727286e-07,True
ca,23.759541666508817,2.2888390899237604e-06,True
sex,10.550068873339484,0.0013725823455654376,True
age,9.470497455173259,0.0023950035725692127,True
trestbps,4.819968589515919,0.029336853255672257,True
restecg,3.0964977393287563,0.08006184429351067,False
chol,2.696414620128417,0.10221961218544832,False
fbs,0.09784181113559415,0.7547763463396627,False
